date,name,team,opp,fpts,mp,fppm,home,w,w_pts,l,l_pts,injury,starter,fg,fga,fg_perc,3p,3pa,3p_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts,efg,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perc,usg,ortg,drtg,bpm,total_pts,pts_diff,team_fpts,matchup,mu_fpts
2023-02-15,Aaron Holiday,ATL,NY,2.4,7.8,0.3076923076923077,1,NY,122,ATL,101,0,0,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,-4.0,0.0,0.0,0.333,0.0,0.1159999999999999,0.147,0.13,0.0,0.0,0.0,0.0,0.1669999999999999,26,127,-21.8,223,-21,221.5,"('ATL', 'NY')",442.5
2023-02-15,Saddiq Bey,ATL,NY,9.5,18.48333333333333,0.5139765554553651,1,NY,122,ATL,101,0,0,1,4,0.25,0,1,0.0,0,0,0.0,2,3,5,1,0,0,0,1,2,-1.0,0.25,0.25,0.25,0.0,0.098,0.185,0.1369999999999999,0.069,0.0,0.0,0.0,0.094,86,126,-9.4,223,-21,221.5,"('ATL', 'NY')",442.5
2023-02-15,John Collins,ATL,NY,13.4,21.816666666666663,0.6142093200916731,1,NY,122,ATL,101,0,1,2,8,0.25,0,3,0.0,4,4,1.0,0,2,2,0,0,1,0,2,8,-18.0,0.41,0.25,0.375,0.5,0.0,0.105,0.046,0.0,0.0,0.042,0.0,0.195,87,125,-9.2,223,-21,221.5,"('ATL', 'NY')",442.5
2023-02-15,Bogdan Bogdanovic,ATL,NY,22.1,23.61666666666667,0.9357798165137616,1,NY,122,ATL,101,0,0,3,5,0.6,1,3,0.333,1,1,1.0,0,3,3,3,1,1,0,2,8,-8.0,0.735,0.7,0.6,0.2,0.0,0.145,0.064,0.18,0.02,0.038,0.0,0.1,152,120,4.2,223,-21,221.5,"('ATL', 'NY')",442.5
2023-02-15,Onyeka Okongwu,ATL,NY,16.3,18.516666666666666,0.8802880288028804,1,NY,122,ATL,101,0,0,3,9,0.333,0,0,0.0,1,2,0.5,1,3,4,1,0,1,0,4,7,-8.0,0.354,0.333,0.0,0.222,0.049,0.185,0.109,0.08,0.0,0.049,0.0,0.2319999999999999,81,122,-9.7,223,-21,221.5,"('ATL', 'NY')",442.5
2023-02-15,Dejounte Murray,ATL,NY,15.5,33.71666666666667,0.4597132970835393,1,NY,122,ATL,101,0,1,3,12,0.25,0,4,0.0,0,0,0.0,0,5,5,3,0,0,1,2,6,-20.0,0.25,0.25,0.333,0.0,0.0,0.1689999999999999,0.075,0.12,0.0,0.0,0.077,0.168,56,126,-14.7,223,-21,221.5,"('ATL', 'NY')",442.5
2023-02-15,AJ Griffin,ATL,NY,14.4,15.416666666666664,0.934054054054054,1,NY,122,ATL,101,0,0,6,12,0.5,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,12,-3.0,0.5,0.5,0.1669999999999999,0.0,0.059,0.074,0.066,0.0,0.0,0.0,0.0,0.3389999999999999,97,129,-1.9,223,-21,221.5,"('ATL', 'NY')",442.5
2023-02-24,Garrison Mathews,ATL,CLE,0.0,2.05,0.0,1,ATL,136,CLE,119,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,128,-6.0,255,17,259.4,"('ATL', 'CLE')",484.4
2023-02-24,Vit Krejci,ATL,CLE,0.0,2.05,0.0,1,ATL,136,CLE,119,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,128,-5.4,255,17,259.4,"('ATL', 'CLE')",484.4
2023-02-24,Bruno Fernando,ATL,CLE,1.7000000000000002,2.05,0.8292682926829269,1,ATL,136,CLE,119,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,0,-6.0,0.0,0.0,0.0,0.0,0.0,0.498,0.304,0.4679999999999999,0.0,0.0,1.0,0.215,56,114,-8.7,255,17,259.4,"('ATL', 'CLE')",484.4
